Train Name,Departure Station,Source,Destination Station,Destination,Departure Time
Tejas Express,CSMT,Mumbai,Karmali,Goa,5:50 AM
Konkan Kanya Express,CSMT,Mumbai,Madgaon,Goa,11:05 PM
Mandovi Express,CSMT,Mumbai,Madgaon,Goa,7:10 AM
Mumbai Central - New Delhi Rajdhani Express,Mumbai Central,Mumbai,New Delhi,Delhi,5:00 PM
Paschim Express Slip,Mumbai Central,Mumbai,New Delhi,Delhi,11:25 AM
Mumbai Central - New Delhi Duronto Express,Mumbai Central,Mumbai,New Delhi,Delhi,11:10 PM
New Delhi - Mumbai Central Rajdhani Express,New Delhi,Delhi,Mumbai Central,Mumbai,4:30 PM
Paschim Express Slip,New Delhi,Delhi,Mumbai Central,Mumbai,11:05 AM
New Delhi - Mumbai Central Duronto Express,New Delhi,Delhi,Mumbai Central,Mumbai,11:25 PM
Gitanjali Express,CSMT,Mumbai,Howrah Junction,Kolkata,6:00 AM
Howrah Mail,CSMT,Mumbai,Howrah Junction,Kolkata,9:10 PM
Gitanjali Express,Howrah Junction,Kolkata,CSMT,Mumbai,1:40 PM
Howrah Mail,Howrah Junction,Kolkata,CSMT,Mumbai,7:30 PM
Mumbai CSMT - MGR Chennai Central SF Express,Mumbai CSMT,Mumbai,MGR Chennai Central,Chennai,12:45:00
Mumbai LTT - MGR Chennai Central SF Express,Lokmanya Tilak T,Mumbai,MGR Chennai Central,Chennai,18:55:00
MGR Chennai Central - Mumbai LTT SF Express,MGR Chennai Central,Chennai,Lokmanya Tilak T,Mumbai,06:45:00
MGR Chennai Central - Mumbai CSMT SF Express,MGR Chennai Central,Chennai,Mumbai CSMT,Mumbai,13:15:00
Devagiri Express,Mumbai CSMT,Mumbai,Secunderabad Jn,Secunderabad,21:05:00
SC Duronto,Lokmanya Tilak T,Mumbai,Secunderabad Jn,Secunderabad,23:05:00
Devagiri Express,Secunderabad Jn,Secunderabad,Mumbai CSMT,Mumbai,13:10:00
Konark Express,Secunderabad Jn,Secunderabad,Mumbai CSMT,Mumbai,11:00:00
Udyan Express,CSMT,Mumbai,KSR Bengaluru,Bengaluru,8:10 AM
Chalukya Express,Dadar Central,Mumbai,KSR Bengaluru,Bengaluru,9:30 PM
Udyan Express,KSR Bengaluru,Bengaluru,CSMT,Mumbai,8:40 PM
Chalukya Express,KSR Bengaluru,Bengaluru,Dadar Central,Mumbai,3:20 PM
Gujarat Mail,Mumbai Central,Mumbai,Ahmedabad Junction,Ahmedabad,10:00 PM
Karnavati Express,Mumbai Central,Mumbai,Ahmedabad Junction,Ahmedabad,2:05 PM
Gujarat Mail,Ahmedabad Junction,Ahmedabad,Mumbai Central,Mumbai,7:00 PM
Karnavati Express,Ahmedabad Junction,Ahmedabad,Mumbai Central,Mumbai,6:30 AM
Kushinagar Express,CSMT,Mumbai,Bhopal Junction,Bhopal,12:35 AM
Punjab Mail,CSMT,Mumbai,Bhopal Junction,Bhopal,7:35 PM
CSMT Rajdhani,Bhopal Junction,Bhopal,CSMT,Mumbai,12:40 AM
Punjab Mail,Bhopal Junction,Bhopal,CSMT,Mumbai,4:40 PM
VSG Patna Express,Panvel,Mumbai,Patna Junction,Patna,6:25 AM
LTT Patna Express,Lokmanya Tilak T,Mumbai,Patna Junction,Patna,2:45 PM
Patliputra Express,Patna Junction,Patna,Lokmanya Tilak T,Mumbai,11:05 AM
Dibrugarh LTT Express,Patna Junction,Patna,Lokmanya Tilak T,Mumbai,1:35 PM
Hisar Duronto Express,Mumbai Central,Mumbai,Jaipur Junction,Jaipur,11:40 AM
Mumbai Central - Jaipur SF Express,Mumbai Central,Mumbai,Jaipur Junction,Jaipur,7:35 AM
